;comment;date
74;Muy buen servicio. Comida 10/10 y atención impecable. Pedimos para llevar a casa. Un sitio para repetir 100%;2023-08-28
75;Todo lo que probamos estaba rico, en un buen sitio y con mucha atención por parte de los empleados. Comida original y buen sitio para salir de la rutina de la carne.;2020-01-28
76;La comida estaba bastante bien. El servicio nefasto. El local bonito, pero con muchas moscas.;2023-10-28
77;Fantástico! ♥ Gran variedad de platos con diferentes elaboraciones y deliciosos.;2021-01-28
78;Un lujo, buena atención y lugar inigualable. Siempre aciertas en el Curry.;2023-01-28
79;"Comida muy rica variada y vegetariana.
Eso sí, procurad reservar";2022-01-28
80;"Restaurante minimalista.
Bonita decoración del espacio interior, sensación de ser grande el local.
Muy limpio todo.
Menú precio-calidad bien.
Servicio muy bien.
Tiene terraza con vistas al puerto deportivo.
Se llega a Fuenterrabia dirección al puerto. Dejamos el coche en un parking grande qué solo se paga en verano. Fuera de esas fechas es gratuito. Andando del parking al Curry Verde son 10 minutos.";2022-01-28
81;"Bien, buena ubicación.
Croquetas buenas , y las patatas fantásticas.
Los totopos y las hamburguesas no me convencen.
Suele estar completamente lleno.";2022-01-28
82;"La comida está muy buena pero las raciones me parecieron muy pequeñas. Las ensaladas eran 4 hojas con pocos ingredientes y los platos de arroz eran muy pequeños también. Fuimos 3 amigas, cogimos platos para compartir y por el precio yo me quedé con hambre.
Los postres si son de buen tamaño.
Comida buenísima pero poca cantidad.
Servicio muy bueno";2023-04-28
83;Restaurante vegano justo al lado del puerto y la playa de Hondarribia. Comida correcta. Pedí Tagliolini y de postre Chocotoffee y ambos estaban un poco secos. Las vistas desde la terraza con los barcos del puerto bonitas.;2023-08-28
84;Desayunamos unas tostadas con mantequilla y mermelada. Muy bueno. Bien presentado. Camarero muy amable;2022-01-28
85;Muy agradables l@s camarer@s,la única pega que pongo es que no te pongan el café al mismo tiempo que las tostadas el resto perfecto...;2023-01-28
86;El mejor vegetariano de Gipuzkoa. Buen ambiente, buena comida, buen menú, buen sitio. Lo tiene todo.;2024-01-07
87;"Siempre exquisito.
Comida muy cuidada y deliciosa.
Estar en la terraza un día de sol es un auténtico lujo.";2023-01-28
88;Good vegan options, nice place and terrace, good attention. Opciones veganas, el local y el personal son muy agradables. La comida está bien.;2019-01-28
89;No hay más estrellas para darle a este sitio, donde se come de lujo, se desayuna impresionante y la amabilidad del personal es súper.;2023-01-28
90;Comida vegetariana fresca y diferente. Buenos precios.  Muy recomendable!;2019-01-28
91;"😍 increíbles todos sus platos !
Muy buena atención.
Los platos salen súper rápido !
Infaltable probar sus croquetas de puerro 🤩
Volveremos muchas veces más 👏🏻";2023-07-28
92;Riquísima comida vegana y vegetariana. Excelente trato y muy buen servicio.;2020-01-28
93;Restaurante junto al puerto deportivo de Fuenterrabia, he ido unas cuantas veces, y de todo lo que he probado recomiendo la hamburguesa de remolacha. También tiene unas croquetas súper ricas de hongos. El local está muy chulo, rollo minimalista. Y posee una terraza exterior que para el verano va genial. Buen trato y personal amable.;2019-01-28
94;Fantástico, buen servicio ,comida diferente y muy rica;2022-01-28
95;Presentación buenísima y de sabor aún mejor. Añadirle miel (opcionalmente) lo borda. Encantado!!🥰;2023-03-28
96;Una grandisima opción para vegetarianos y vegano, pero también para cualquier otro tipo de persona para que puedan darse cuenta de la variedad de platos, con diferentes texturas y sabores sin que tengan que llevar animal. 100% recomendable. Y después de comer paseito por la playa.;2023-08-28
97;Café y bizcocho muy rico, pero trato pésimo, y no es la primera vez. Son muy lentos y te atienden con mala cara, no volveremos;2023-08-28
98;Tan lentos para atender y tan poco organizados, que olvide si la comida estaba bien o mal... no repetiría.;2023-10-28
99;"Me encanto descubrir un restaurante vegetariano a la orilla del mar.
La comida estaba deliciosa, platos muy originales. Sobretodo el gazpacho con cacahuetes y más cosas muy sabroso.
El personal amables, atentos, rápidos y con una hermosa sonrisa.
La terraza mirando el mar no tiene precio.
Volvería cada día, de los mejores sitios en los que he hecho estado.";2023-01-28
100;Todo perfecto, probamos varios platos y todos increíbles, es difícil encontrar restaurantes vegetarianos tan buenos. Todos muy amables. Sin dudas repetiremos.;2023-07-28
101;Seas o no vegetariano esta es una buena opción! Camareros amables y eficaces. Restaurante donde se respira buen rollo. La comida está muy buena, arroz chaufa esquisto y la tarta de queso de 10 😍. A quien no le gusta llegar y aparcar, pues este restaurante lo tiene! Para mí un 10;2023-01-28
102;Maravilloso. Exquisito , diferente , platos espectaculares, atención excelente!!!!! Volvería mil veces más;2023-07-28
103;Experiencia nefasta por la mala educación de la camarera al pedir la carta en papel ,hasta el punto de que hemos tomado café hemos pagado y nos hemos marchado sin desayunar.;2023-08-28
104;"Un vegetariano imbatible; también para no-vegetarianos como yo. Las croquetas y las hamburguesas son buenísimas. Además tiene una carta de cervezas muy top.";2023-07-28
105;Agradable cafetería junto al Náutico de Hondarribi.Buen servicio, buenas vistas y un lugar fenomenal para tomar algo.;2023-08-28
106;Las croquetas de Cabrales exquisitas, el camarero que nos ha atendido muy amable y las cervezas frescas y bien tiradas;2023-07-28
107;"Desayuno carísimo!
Tres cafés taza pequeña…
Cuando ves en otras mesas vasos grandes de café
Al rato… como unos 15 minutos
Te traen dos tostadas enanas y durísimas que apenas puedes morder con un bloque de mantequilla dura que no puedes ni echar en el pan…";2023-02-28
108;Fuimos a desayunar. Las tostadas estaban durísimas, el aguacate y demás muy bueno, pero si que nos llamó la atención que el pan estaba muy duro. Me llama la atención que no tengan bebida de soja en un lugar como el Curry.;2023-03-28
